Time (s),Current (nA)
17:05:59.345,0.1869
17:06:28.518,0.0052
17:06:28.734,0.0231
17:06:28.797,0.0154
17:06:28.860,0.0249
17:06:28.925,-0.0057
17:06:29.010,0.0056
17:06:29.074,0.0273
17:06:29.152,-0.0069
17:06:29.216,0.0241
17:06:29.281,0.0311
17:06:29.334,0.0129
17:06:29.415,-0.0044
17:06:29.479,-0.0221
17:06:29.527,-0.01
17:06:29.590,0.0022
17:06:29.672,0.0204
17:06:29.728,0.0239
17:06:29.806,0.0367
17:06:29.870,-0.0031
17:06:29.932,0.0038
17:06:30.013,0.0043
17:06:30.083,0.0139
17:06:30.148,-0.0329
17:06:30.234,0.0117
17:06:30.302,0.0029
17:06:30.384,-0.0011
17:06:30.451,-0.028
17:06:30.536,0.0179
17:06:30.593,0.0144
17:06:30.644,0.0085
17:06:30.677,-0.0041
17:06:30.717,0.0406
17:06:30.740,0.0034
17:06:30.804,-0.0225
17:06:30.897,0.0177
17:06:30.960,0.0014
17:06:31.019,0.0083
17:06:31.081,-0.0006
17:06:31.135,0.0026
17:06:31.233,-0.0054
17:06:31.265,0.0058
17:06:31.295,-0.0143
17:06:31.381,0.014
17:06:31.465,-0.0311
17:06:31.536,-0.0229
17:06:31.596,0.0272
17:06:31.624,0.018
17:06:31.688,-0.0006
17:06:31.766,0.0115
17:06:31.813,0.0195
17:06:31.842,0.01
17:06:31.926,0.0179
17:06:31.979,0.0131
17:06:32.063,0.0197
17:06:32.132,0.0161
17:06:32.164,-0.0172
17:06:32.191,0.007
17:06:32.253,0.0098
17:06:32.335,0.0028
17:06:32.402,-0.004
17:06:32.467,0.0112
17:06:32.547,0.0177
17:06:32.617,-0.0039
17:06:32.670,-0.0139
17:06:32.762,-0.0028
17:06:32.823,0.0183
17:06:32.856,0.0248
17:06:32.919,0.021
17:06:32.981,0.025
17:06:33.039,0.0274
17:06:33.093,0.0226
17:06:33.187,-0.0036
17:06:33.281,0.016
17:06:33.369,0.0094
17:06:33.453,-0.0055
17:06:33.486,0.0178
17:06:33.505,-0.0085
17:06:33.535,0.0025
17:06:33.627,0.0077
17:06:33.688,0.0167
17:06:33.773,0.0192
17:06:33.840,0.0494
17:06:33.903,0.0237
17:06:33.959,0.0072
17:06:34.009,0.0248
17:06:34.083,-0.0097
17:06:34.135,-0.0021
17:06:34.180,0.0108
17:06:34.252,-0.0057
17:06:34.286,0.0249
17:06:34.357,0.0032
17:06:34.422,-0.0331
17:06:34.483,0.0272
17:06:34.547,-0.0154
17:06:34.592,-0.0031
17:06:34.654,0.0423
17:06:34.717,-0.0066
17:06:34.782,0.004
17:06:34.828,0.0024
17:06:34.891,0.005
17:06:34.973,0.0181
17:06:35.037,0.0293
17:06:35.065,0.0068
17:06:35.146,0.016
17:06:35.206,0.0133
17:06:35.270,0.0271
17:06:35.335,-0.0031
17:06:35.398,0.0198
17:06:35.444,0.0252
17:06:35.506,-0.0053
17:06:35.569,0.0114
17:06:35.644,-0.0252
17:06:35.695,-0.0089
17:06:35.758,0.0216
17:06:35.834,0.0135
17:06:35.906,-0.0119
17:06:35.964,0.0007
17:06:35.981,-0.0017
17:06:36.043,0.02
17:06:36.059,-0.014
17:06:36.124,-0.0321
17:06:36.189,0.0276
17:06:36.266,-0.0083
17:06:36.329,-0.0071
17:06:36.378,0.005
17:06:36.440,-0.0021
17:06:36.510,-0.0145
17:06:36.554,0.0104
17:06:36.617,0.0355
17:06:36.685,0.015
17:06:36.724,0.0322
17:06:36.805,0.0303
17:06:36.853,0.0108
17:06:36.915,0.0064
17:06:36.978,-0.0028
17:06:37.042,-0.0162
17:06:37.106,-0.0051
17:06:37.167,0.0066
17:06:37.230,0.0312
17:06:37.299,-0.0058
17:06:37.361,0.0071
17:06:37.404,0.0061
17:06:37.467,-0.008
17:06:37.546,-0.0346
17:06:37.624,-0.0234
17:06:37.704,0.0181
17:06:37.766,-0.001
