Time (s),Current (nA)
15:50:43.850,5.54
15:50:43.850,5.588
15:50:43.850,5.672
15:50:43.854,5.296
15:50:43.854,5.038
15:50:43.855,4.852
15:50:43.855,4.915
15:50:43.855,4.866
15:50:43.858,4.675
15:50:43.858,4.329
15:50:43.858,3.985
15:50:43.858,4.063
15:50:43.858,3.82
15:50:43.858,3.71
15:50:43.863,3.432
15:50:43.863,3.386
15:50:43.863,3.431
15:50:43.863,3.479
15:50:43.866,3.022
15:50:43.866,3.107
15:50:43.867,3.42
15:50:43.867,3.793
15:50:43.869,2.945
15:50:43.869,2.416
15:50:43.869,2.294
15:50:43.869,2.121
15:50:43.869,2.259
15:50:43.872,1.934
15:50:43.874,1.666
15:50:43.874,1.326
15:50:43.876,0.639
15:50:43.876,0.481
15:50:43.877,0.306
15:50:43.877,0.277
15:50:43.877,0.207
15:50:43.877,0.275
15:50:43.877,0.172
15:50:43.877,0.03
15:50:43.877,0.053
15:50:43.877,0.018
15:50:43.877,0.071
15:50:43.877,0.075
15:50:43.877,0.271
15:50:43.877,-0.096
15:50:43.889,-0.08
15:50:43.889,-0.262
15:50:43.889,-0.323
15:50:43.889,-0.816
15:50:43.889,-0.8
15:50:43.889,-1.069
15:50:43.889,-1.557
15:50:43.889,-2.922
15:50:43.889,-3.27
15:50:43.889,-2.273
15:50:43.889,-1.943
15:50:43.889,-2.433
15:50:43.889,-3.557
15:50:43.889,-4.146
15:50:43.889,-4.519
15:50:43.904,-4.619
15:50:43.905,-4.13
15:50:43.905,-4.111
15:50:43.905,-4.065
15:50:43.905,-4.309
15:50:43.905,-4.416
15:50:43.905,-4.58
15:50:43.905,-4.187
15:50:43.905,-4.161
15:50:43.905,-3.847
15:50:43.905,-3.773
15:50:43.905,-3.559
15:50:43.905,-3.629
15:50:43.905,-3.545
15:50:43.905,-3.76
15:50:43.905,-3.854
15:50:43.916,-3.918
15:50:43.917,-3.936
15:50:43.917,-4.0
15:50:43.917,-4.247
15:50:43.917,-5.316
15:50:43.917,-5.559
15:50:43.917,-4.381
15:50:43.921,-3.644
15:50:43.921,-4.033
15:50:43.921,-4.696
15:50:43.921,-5.338
15:50:43.921,-5.608
15:50:43.921,-5.568
15:50:43.926,-5.547
15:50:43.927,-5.436
15:50:43.927,-5.097
15:50:43.927,-4.737
15:50:43.927,-4.865
15:50:43.927,-4.812
15:50:43.927,-4.598
15:50:43.927,-4.591
15:50:43.927,-4.017
15:50:43.927,-3.944
15:50:43.927,-3.774
15:50:43.927,-3.767
15:50:43.927,-3.759
15:50:43.927,-3.468
15:50:43.927,-3.169
15:50:43.937,-3.314
15:50:43.937,-3.147
15:50:43.937,-2.964
15:50:43.937,-3.101
15:50:43.937,-3.566
15:50:43.937,-2.997
15:50:43.937,-2.368
15:50:43.937,-2.372
15:50:43.937,-2.408
15:50:43.937,-2.171
15:50:43.937,-1.779
15:50:43.937,-1.637
15:50:43.937,-1.217
15:50:43.937,-0.824
15:50:43.937,-0.457
15:50:43.937,-0.435
15:50:43.937,-0.274
15:50:43.937,-0.284
15:50:43.937,-0.135
15:50:43.937,-0.245
15:50:43.937,-0.078
15:50:43.937,-0.071
15:50:43.953,0.04
15:50:43.953,-0.018
15:50:43.953,-0.082
15:50:43.953,-0.038
15:50:43.953,0.134
15:50:43.953,0.329
15:50:43.953,0.55
15:50:43.953,0.711
15:50:43.953,0.9
15:50:43.953,1.148
15:50:43.953,1.801
15:50:43.953,2.936
15:50:43.953,3.249
15:50:43.953,2.33
15:50:43.953,1.67
15:50:43.953,2.813
15:50:43.953,3.823
15:50:43.953,4.241
15:50:43.953,4.836
15:50:43.953,4.284
15:50:43.953,4.021
15:50:43.953,4.205
15:50:43.969,4.396
15:50:43.969,4.402
15:50:43.969,4.606
15:50:43.969,4.499
15:50:43.969,4.555
15:50:43.969,4.121
15:50:43.969,3.979
15:50:43.969,3.671
15:50:43.969,3.755
15:50:43.975,3.821
15:50:43.975,3.745
15:50:43.975,3.965
15:50:43.975,4.103
15:50:43.975,4.046
15:50:43.975,4.189
15:50:43.975,4.221
15:50:43.975,5.197
15:50:43.981,5.454
15:50:43.981,4.566
15:50:43.981,3.999
15:50:43.981,4.468
15:50:43.985,4.853
15:50:43.985,5.545
15:50:43.985,5.65
15:50:43.985,5.676
15:50:43.985,5.54
15:50:43.985,5.27
15:50:43.985,5.229
15:50:43.985,4.956
15:50:43.985,4.792
15:50:43.985,4.797
15:50:43.985,4.787
15:50:44.001,4.492
15:50:44.001,4.083
15:50:44.001,3.947
15:50:44.001,3.797
15:50:44.001,3.776
15:50:44.001,3.64
15:50:44.001,3.408
15:50:44.001,3.423
15:50:44.001,3.025
15:50:44.001,2.936
15:50:44.001,3.622
15:50:44.001,3.271
15:50:44.001,2.423
15:50:44.001,2.538
15:50:44.001,2.311
15:50:44.001,2.0
15:50:44.001,1.649
15:50:44.016,1.243
15:50:44.018,0.784
15:50:44.018,0.541
15:50:44.018,0.242
15:50:44.018,0.439
15:50:44.018,0.233
15:50:44.018,0.269
15:50:44.018,0.255
15:50:44.018,0.058
15:50:44.018,-0.001
15:50:44.018,0.081
15:50:44.018,0.198
15:50:44.018,0.143
15:50:44.032,0.142
15:50:44.032,0.067
15:50:44.032,-0.027
15:50:44.032,-0.257
15:50:44.032,-0.447
15:50:44.032,-0.862
15:50:44.032,-0.977
15:50:44.032,-1.562
15:50:44.032,-3.184
15:50:44.032,-3.029
15:50:44.032,-2.715
